,SessionId,TimeStr,Time,ItemId
247,0,2020-11-09 12:13:10,1604923990,296
331,1,2020-11-09 14:10:55,1604931055,296
332,1,2020-11-09 14:11:51,1604931111,296
633,2,2020-11-15 14:40:46,1605451246,125
634,2,2020-11-15 14:42:21,1605451341,125
934,3,2020-11-01 14:21:11,1604240471,125
989,4,2020-11-02 16:15:09,1604333709,125
1094,5,2020-11-01 08:10:05,1604218205,125
1141,6,2020-11-11 08:34:23,1605083663,125
1158,7,2020-11-10 01:01:01,1604970061,125
1280,8,2020-11-05 11:08:33,1604574513,125
1405,9,2020-11-01 01:12:30,1604193150,125
4835,10,2020-11-08 04:46:00,1604810760,124
4836,10,2020-11-08 04:47:35,1604810855,124
4993,11,2020-11-07 04:00:01,1604721601,124
4994,11,2020-11-07 04:01:57,1604721717,124
5173,12,2020-11-22 09:23:07,1606036987,124
5552,13,2020-11-06 06:27:56,1604644076,124
5731,14,2020-11-15 15:02:23,1605452543,124
5732,14,2020-11-15 15:04:23,1605452663,124
5745,15,2020-11-08 17:24:06,1604856246,124
5779,16,2020-11-08 23:19:15,1604877555,124
5969,17,2020-11-08 13:32:09,1604842329,124
6305,18,2020-11-10 16:14:21,1605024861,124
6432,19,2020-11-01 17:52:05,1604253125,124
6567,20,2020-11-10 09:54:54,1605002094,124
6668,21,2020-11-08 11:01:24,1604833284,51
6669,21,2020-11-08 11:01:29,1604833289,51
6670,21,2020-11-08 11:03:26,1604833406,51
6671,21,2020-11-08 11:05:43,1604833543,51
6672,21,2020-11-08 11:05:58,1604833558,51
6824,22,2020-11-07 04:38:32,1604723912,51
6857,23,2020-11-08 16:33:13,1604853193,51
6858,23,2020-11-08 16:35:26,1604853326,51
6901,24,2020-11-06 18:34:27,1604687667,51
6902,24,2020-11-06 18:40:44,1604688044,51
7038,25,2020-11-04 04:17:12,1604463432,51
7058,26,2020-11-20 13:25:41,1605878741,51
7105,27,2020-11-04 13:41:39,1604497299,51
7199,28,2020-11-26 10:10:49,1606385449,51
7200,28,2020-11-26 10:22:42,1606386162,51
7201,28,2020-11-26 10:24:04,1606386244,51
7302,29,2020-11-13 13:48:28,1605275308,51
7340,30,2020-11-23 16:52:45,1606150365,51
7444,31,2020-11-23 21:17:24,1606166244,51
7567,11,2020-11-07 04:00:35,1604721635,51
7630,32,2020-11-09 06:53:19,1604904799,51
7711,33,2020-11-04 09:50:53,1604483453,51
7759,34,2020-11-02 14:12:09,1604326329,51
7846,35,2020-11-07 18:45:59,1604774759,51
7929,36,2020-11-24 01:21:41,1606180901,51
7983,37,2020-11-03 06:30:33,1604385033,51
8082,38,2020-11-04 06:59:23,1604473163,51
8086,39,2020-11-24 07:34:43,1606203283,51
8242,40,2020-10-31 00:56:23,1604105783,51
8436,41,2020-11-23 14:28:22,1606141702,51
8484,42,2020-11-21 04:54:03,1605934443,51
8977,43,2020-11-09 10:17:27,1604917047,51
9015,44,2020-11-14 15:43:14,1605368594,51
9173,45,2020-11-05 13:30:51,1604583051,51
9254,46,2020-11-06 06:13:39,1604643219,51
9370,47,2020-11-26 03:17:28,1606360648,51
9410,48,2020-11-05 17:47:33,1604598453,51
9411,48,2020-11-05 18:00:31,1604599231,51
9412,48,2020-11-05 18:16:16,1604600176,51
9413,48,2020-11-05 18:16:30,1604600190,51
9414,48,2020-11-05 18:17:46,1604600266,51
9603,49,2020-11-16 02:29:39,1605493779,51
9654,50,2020-11-27 19:54:15,1606506855,51
9688,51,2020-11-26 10:18:44,1606385924,51
9702,52,2020-11-24 06:14:48,1606198488,51
9713,53,2020-11-06 22:01:24,1604700084,51
10125,54,2020-11-14 07:49:08,1605340148,51
10365,55,2020-11-17 12:22:44,1605615764,51
10421,56,2020-11-20 13:13:57,1605878037,51
10534,57,2020-11-24 08:40:35,1606207235,51
10611,58,2020-11-03 14:58:04,1604415484,51
10614,59,2020-11-03 06:13:49,1604384029,51
10698,60,2020-11-20 13:27:50,1605878870,51
10805,61,2020-11-23 01:48:31,1606096111,51
10806,61,2020-11-23 01:48:36,1606096116,51
10879,62,2020-11-20 10:41:54,1605868914,51
11496,63,2020-11-10 14:39:29,1605019169,51
11966,64,2020-11-12 06:06:12,1605161172,7
12328,65,2020-11-13 16:28:25,1605284905,7
12329,65,2020-11-13 16:28:32,1605284912,7
12330,65,2020-11-13 16:28:49,1605284929,7
12331,65,2020-11-13 16:33:12,1605285192,7
12500,66,2020-11-16 04:38:25,1605501505,7
12598,67,2020-11-14 16:31:34,1605371494,7
12599,67,2020-11-14 16:31:36,1605371496,7
12785,21,2020-11-08 11:05:50,1604833550,7
12961,68,2020-11-22 20:04:43,1606075483,7
13118,69,2020-11-19 04:02:10,1605758530,7
13291,70,2020-11-09 08:27:06,1604910426,7
13292,70,2020-11-09 08:27:46,1604910466,7
13319,71,2020-11-01 15:51:04,1604245864,7
13821,72,2020-10-31 02:13:37,1604110417,7
13992,73,2020-11-11 05:39:15,1605073155,7
14012,74,2020-11-09 07:53:08,1604908388,7
14313,75,2020-11-24 11:44:38,1606218278,7
14314,75,2020-11-24 11:44:59,1606218299,7
14315,75,2020-11-24 11:45:00,1606218300,7
14316,75,2020-11-24 11:45:03,1606218303,7
14323,76,2020-11-15 13:32:33,1605447153,7
14324,76,2020-11-15 13:34:18,1605447258,7
14530,77,2020-11-07 06:33:03,1604730783,7
14791,78,2020-11-20 14:01:07,1605880867,7
14812,79,2020-11-25 09:15:49,1606295749,7
14834,80,2020-11-16 09:17:15,1605518235,7
14835,80,2020-11-16 09:17:19,1605518239,7
14865,81,2020-11-24 22:59:01,1606258741,7
15029,82,2020-11-07 22:19:48,1604787588,7
15030,82,2020-11-07 22:20:39,1604787639,7
15031,82,2020-11-07 22:21:17,1604787677,7
15218,83,2020-11-20 19:06:06,1605899166,7
15434,84,2020-11-16 07:17:12,1605511032,7
